0.00000 <init Client> [INFO]:	(Logging enabled)
0.00201 <init Client> [STATUS]:	(Venter på forbindelse på 0.0.0.0:12345...)
143.03516 <init Client> [STATUS]:	(Forbundet til: ('192.168.28.151', 34310))
143.04159 <init Client> [STATUS]:	(Modtaget EV3 is ready)
143.89469 <client Loop> [STATUS]:	(generating frame)
144.03571 <pathGenerator> [DEBUG]:	(found destination)
144.03571 <pathGenerator> [DEBUG]:	(Target: (298.50, 182.50))
144.03571 <pathGenerator> [DEBUG]:	(From:   (280.00, 147.00))
144.03571 <pathGenerator> [DEBUG]:	(Angle to target: 0.03 rad)
144.03571 <pathGenerator> [DEBUG]:	(Rotation applied: -0.47 rad)
144.03571 <pathGenerator> [DEBUG]:	(Movement: 75.62 px)
144.04834 <client sender> [STATUS]:	(create rotate -0.4687714178213009)
144.04834 <client sender> [COMMAND]:	(sending command rotate 8.952874599174748)
144.04834 <client sender> [STATUS]:	(has ball False)
144.24312 <client reciever> [RESPONSE]:	(modified OK)
144.24312 <client Loop> [FPS]:	(2.870072595119862)
144.24312 <client Loop> [STATUS]:	(generating frame)
144.27755 <pathGenerator> [DEBUG]:	(adjusted target)
144.27755 <pathGenerator> [DEBUG]:	(Target: (298.50, 182.50))
144.27755 <pathGenerator> [DEBUG]:	(From:   (280.00, 147.00))
144.27755 <pathGenerator> [DEBUG]:	(Angle to target: 0.04 rad)
144.27755 <pathGenerator> [DEBUG]:	(Rotation applied: -0.46 rad)
144.27755 <pathGenerator> [DEBUG]:	(Movement: 75.45 px)
144.28055 <client sender> [STATUS]:	(create rotate -0.46252563479616776)
144.28055 <client sender> [COMMAND]:	(sending command rotate 8.833588930143222)
144.28055 <client sender> [STATUS]:	(has ball False)
144.45576 <client reciever> [RESPONSE]:	(modified OK)
144.45576 <client Loop> [FPS]:	(4.702772461286789)
144.45576 <client Loop> [STATUS]:	(generating frame)
144.49301 <pathGenerator> [DEBUG]:	(adjusted target)
144.49301 <pathGenerator> [DEBUG]:	(Target: (298.50, 182.50))
144.49301 <pathGenerator> [DEBUG]:	(From:   (193.00, 186.00))
144.49301 <pathGenerator> [DEBUG]:	(Angle to target: 0.32 rad)
144.49301 <pathGenerator> [DEBUG]:	(Rotation applied: 1.44 rad)
144.49301 <pathGenerator> [DEBUG]:	(Movement: 139.53 px)
144.49639 <client sender> [STATUS]:	(create rotate 1.4441425606806404)
144.49639 <client sender> [COMMAND]:	(sending command rotate -27.581091247405357)
144.49639 <client sender> [STATUS]:	(has ball False)
144.90604 <client reciever> [RESPONSE]:	(modified OK)
144.90703 <client Loop> [FPS]:	(2.2159478566194397)
144.90703 <client Loop> [STATUS]:	(generating frame)
144.94095 <pathGenerator> [DEBUG]:	(adjusted target)
144.94095 <pathGenerator> [DEBUG]:	(Target: (298.50, 182.50))
144.94095 <pathGenerator> [DEBUG]:	(From:   (183.00, 170.00))
144.94095 <pathGenerator> [DEBUG]:	(Angle to target: 0.03 rad)
144.94095 <pathGenerator> [DEBUG]:	(Rotation applied: -2.80 rad)
144.94095 <pathGenerator> [DEBUG]:	(Movement: 70.06 px)
144.94395 <client sender> [STATUS]:	(create rotate -2.8023445191641865)
144.94395 <client sender> [COMMAND]:	(sending command rotate 53.52083789657531)
144.94395 <client sender> [STATUS]:	(has ball False)
145.25516 <client cleanup> [ERROR]:	(An error occurred:  	 [WinError 10053] An established connection was aborted by the software in your host machine)
145.26002 <client cleanup> [ERROR]:	(Stack trace:  <traceback object at 0x0000028944C0F7C0>)
145.26342 <client cleanup> [STATUS]:	(Closing connection without error)
145.26598 <client cleanup> [STATUS]:	(Client socket closed)
145.26940 <client cleanup> [STATUS]:	(Server socket closed)
145.27284 <client cleanup> [STATUS]:	(closing log)
