{0.00000} <init Client> [INFO]:	(Logging enabled)
{0.00000} <init Client> [STATUS]:	(Venter på forbindelse på 0.0.0.0:12345...)
{6.82121} <init Client> [STATUS]:	(Forbundet til: ('192.168.28.151', 52930))
{6.82121} <init Client> [STATUS]:	(Modtaget EV3 is ready)
{7.65659} <Class Car Valid> [ERROR]:	(invalid triangle points, area too small: 0.5)
{7.65659} <unkown> [DEBUG]:	(generating invalid car, [<classes.Point object at 0x000001996D522510>, <classes.Point object at 0x000001996D67E870>, <classes.Point object at 0x000001996D67E7E0>]; Point[0,0] Class car constructor)
{7.65659} <client Loop> [STATUS]:	(generating frame)
{7.74594} <update track> [DEBUG]:	(updating walls)
{8.05763} <findCorners> [ERROR]:	(Kunne ikke finde alle hjørner)
{8.06163} <findCorners> [ERROR]:	(Kunne ikke finde alle hjørner)
{8.06163} <makeWalls> [ERROR]:	(Kunne ikke lave væg, et eller flere hjørner er None)
{8.06163} <makeGoals> [ERROR]:	(Kunne ikke lave mål, et eller flere hjørner er None)
{8.06163} <update track> [DEBUG]:	(no goals found)
{8.06264} <update track> [DEBUG]:	(updating targets)
{8.09151} <update track> [DEBUG]:	(updating obsticles)
{8.11295} <update track> [DEBUG]:	(updating car)
{8.14850} <update track> [DEBUG]:	(falied car length 1)
{8.16049} <update track> [DEBUG]:	(falied car length 1)
{8.17149} <update track> [DEBUG]:	(falied car length 1)
{8.18349} <update track> [DEBUG]:	(falied car length 1)
{8.19349} <update track> [DEBUG]:	(falied car length 1)
{8.20449} <client Loop> [RETRY]:	(no car)
{8.21797} <Class Car Valid> [ERROR]:	(invalid triangle points, area too small: 0.5)
{8.21797} <unkown> [DEBUG]:	(generating invalid car, [<classes.Point object at 0x000001996D67ED80>, <classes.Point object at 0x000001996D67E9F0>, <classes.Point object at 0x000001996D67EA20>]; Point[0,0] Class car constructor)
{8.23249} <client Loop> [RETRY]:	(failed to follow path (empty))
{8.23249} <client Loop> [FPS]:	(1.736430308738447)
{8.23249} <client loop> [TIME]:	(frame number: 0)
{8.23249} <client Loop> [STATUS]:	(generating frame)
{8.23549} <update track> [DEBUG]:	(updating targets)
{8.24650} <update track> [DEBUG]:	(updating obsticles)
{8.25649} <update track> [DEBUG]:	(updating car)
{8.26749} <update track> [DEBUG]:	(falied car length 1)
{8.28051} <update track> [DEBUG]:	(falied car length 1)
{8.29151} <update track> [DEBUG]:	(falied car length 1)
{8.30451} <update track> [DEBUG]:	(falied car length 1)
{8.31551} <update track> [DEBUG]:	(falied car length 1)
{8.32452} <client Loop> [RETRY]:	(no car)
{8.32760} <Class Car Valid> [ERROR]:	(invalid triangle points, area too small: 0.5)
{8.32760} <unkown> [DEBUG]:	(generating invalid car, [<classes.Point object at 0x000001996D67E990>, <classes.Point object at 0x000001996D67ED80>, <classes.Point object at 0x000001996D67E9F0>]; Point[0,0] Class car constructor)
{8.32960} <client Loop> [RETRY]:	(failed to follow path (empty))
{8.32960} <client Loop> [FPS]:	(10.29790054923066)
{8.32960} <client loop> [TIME]:	(frame number: 1)
{8.32960} <client Loop> [STATUS]:	(generating frame)
{8.33260} <update track> [DEBUG]:	(updating targets)
{8.34260} <update track> [DEBUG]:	(updating obsticles)
{8.35261} <update track> [DEBUG]:	(updating car)
{8.36460} <update track> [DEBUG]:	(falied car length 1)
{8.37460} <update track> [DEBUG]:	(falied car length 1)
{8.38760} <update track> [DEBUG]:	(falied car length 1)
{8.39860} <update track> [DEBUG]:	(falied car length 1)
{8.40960} <update track> [DEBUG]:	(falied car length 1)
{8.42160} <client Loop> [RETRY]:	(no car)
{8.42360} <Class Car Valid> [ERROR]:	(invalid triangle points, area too small: 0.5)
{8.42360} <unkown> [DEBUG]:	(generating invalid car, [<classes.Point object at 0x000001996D67EA20>, <classes.Point object at 0x000001996D67E990>, <classes.Point object at 0x000001996D67ED80>]; Point[0,0] Class car constructor)
{8.42666} <client Loop> [RETRY]:	(failed to follow path (empty))
{8.42670} <client Loop> [FPS]:	(10.297774133198462)
{8.42670} <client loop> [TIME]:	(frame number: 2)
{8.42670} <client Loop> [STATUS]:	(generating frame)
{8.42874} <update track> [DEBUG]:	(updating targets)
{8.43873} <update track> [DEBUG]:	(updating obsticles)
{8.44877} <update track> [DEBUG]:	(updating car)
{8.45877} <update track> [DEBUG]:	(falied car length 1)
{8.46977} <update track> [DEBUG]:	(falied car length 1)
{8.48177} <update track> [DEBUG]:	(falied car length 1)
{8.49377} <update track> [DEBUG]:	(falied car length 1)
{8.50377} <update track> [DEBUG]:	(falied car length 1)
{8.51477} <client Loop> [RETRY]:	(no car)
{8.51778} <Class Car Valid> [ERROR]:	(invalid triangle points, area too small: 0.5)
{8.51778} <unkown> [DEBUG]:	(generating invalid car, [<classes.Point object at 0x000001996D67EBD0>, <classes.Point object at 0x000001996D67EA20>, <classes.Point object at 0x000001996D67E990>]; Point[0,0] Class car constructor)
{8.51877} <client Loop> [RETRY]:	(failed to follow path (empty))
{8.51979} <client Loop> [FPS]:	(10.742588432961016)
{8.51979} <client loop> [TIME]:	(frame number: 3)
{8.51979} <client Loop> [STATUS]:	(generating frame)
{8.52277} <update track> [DEBUG]:	(updating targets)
{8.53329} <update track> [DEBUG]:	(updating obsticles)
{8.54429} <update track> [DEBUG]:	(updating car)
{8.55429} <update track> [DEBUG]:	(falied car length 1)
{8.56529} <update track> [DEBUG]:	(falied car length 1)
{8.57529} <update track> [DEBUG]:	(falied car length 1)
{8.58629} <update track> [DEBUG]:	(falied car length 1)
{8.59729} <update track> [DEBUG]:	(falied car length 1)
{8.60630} <client Loop> [RETRY]:	(no car)
{8.60929} <Class Car Valid> [ERROR]:	(invalid triangle points, area too small: 0.5)
{8.60929} <unkown> [DEBUG]:	(generating invalid car, [<classes.Point object at 0x000001996D67ED80>, <classes.Point object at 0x000001996D67EBD0>, <classes.Point object at 0x000001996D67EA20>]; Point[0,0] Class car constructor)
{8.61130} <client Loop> [RETRY]:	(failed to follow path (empty))
{8.61130} <client Loop> [FPS]:	(10.927447424915067)
{8.61130} <client loop> [TIME]:	(frame number: 4)
{8.61130} <client Loop> [STATUS]:	(generating frame)
{8.61331} <update track> [DEBUG]:	(updating targets)
{8.62331} <update track> [DEBUG]:	(updating obsticles)
{8.63283} <update track> [DEBUG]:	(updating car)
{8.64282} <update track> [DEBUG]:	(falied car length 1)
{8.65382} <update track> [DEBUG]:	(falied car length 1)
{8.66482} <update track> [DEBUG]:	(falied car length 1)
{8.67482} <update track> [DEBUG]:	(falied car length 1)
{8.68682} <update track> [DEBUG]:	(falied car length 1)
{8.69782} <client Loop> [RETRY]:	(no car)
{8.70082} <Class Car Valid> [ERROR]:	(invalid triangle points, area too small: 0.5)
{8.70082} <unkown> [DEBUG]:	(generating invalid car, [<classes.Point object at 0x000001996D67E9F0>, <classes.Point object at 0x000001996D67ED80>, <classes.Point object at 0x000001996D67EBD0>]; Point[0,0] Class car constructor)
{8.70382} <client Loop> [RETRY]:	(failed to follow path (empty))
{8.70382} <client Loop> [FPS]:	(10.808780402323436)
{8.70382} <client loop> [TIME]:	(frame number: 5)
{8.70382} <client Loop> [STATUS]:	(generating frame)
{8.70682} <update track> [DEBUG]:	(updating targets)
{8.71583} <update track> [DEBUG]:	(updating obsticles)
{8.72583} <update track> [DEBUG]:	(updating car)
{8.73708} <update track> [DEBUG]:	(falied car length 1)
{8.74903} <update track> [DEBUG]:	(falied car length 1)
{8.75901} <update track> [DEBUG]:	(falied car length 1)
{8.77001} <update track> [DEBUG]:	(falied car length 1)
{8.78202} <update track> [DEBUG]:	(falied car length 1)
{8.79304} <client Loop> [RETRY]:	(no car)
{8.79604} <Class Car Valid> [ERROR]:	(invalid triangle points, area too small: 0.5)
{8.79604} <unkown> [DEBUG]:	(generating invalid car, [<classes.Point object at 0x000001996D67EA20>, <classes.Point object at 0x000001996D67E9F0>, <classes.Point object at 0x000001996D67ED80>]; Point[0,0] Class car constructor)
{8.79904} <client Loop> [RETRY]:	(failed to follow path (empty))
{8.79913} <client Loop> [FPS]:	(10.492133971387618)
{8.79913} <client loop> [TIME]:	(frame number: 6)
{8.79913} <client Loop> [STATUS]:	(generating frame)
{8.80116} <update track> [DEBUG]:	(updating targets)
{8.81117} <update track> [DEBUG]:	(updating obsticles)
{8.82092} <update track> [DEBUG]:	(updating car)
{8.83250} <update track> [DEBUG]:	(falied car length 1)
{8.84877} <update track> [DEBUG]:	(falied car length 1)
{8.86077} <update track> [DEBUG]:	(falied car length 1)
{8.87177} <update track> [DEBUG]:	(falied car length 1)
{8.88276} <update track> [DEBUG]:	(falied car length 1)
{8.89376} <client Loop> [RETRY]:	(no car)
{8.89577} <Class Car Valid> [ERROR]:	(invalid triangle points, area too small: 0.5)
{8.89577} <unkown> [DEBUG]:	(generating invalid car, [<classes.Point object at 0x000001996D67E990>, <classes.Point object at 0x000001996D67EA20>, <classes.Point object at 0x000001996D67E9F0>]; Point[0,0] Class car constructor)
{8.89677} <client Loop> [RETRY]:	(failed to follow path (empty))
{8.89777} <client Loop> [FPS]:	(10.138319781101647)
{8.89777} <client loop> [TIME]:	(frame number: 7)
{8.89777} <client Loop> [STATUS]:	(generating frame)
{8.89977} <update track> [DEBUG]:	(updating targets)
{8.90979} <update track> [DEBUG]:	(updating obsticles)
{8.92077} <update track> [DEBUG]:	(updating car)
{8.93234} <update track> [DEBUG]:	(falied car length 1)
{8.94437} <update track> [DEBUG]:	(falied car length 1)
{8.95637} <update track> [DEBUG]:	(falied car length 1)
{8.96637} <update track> [DEBUG]:	(falied car length 1)
{8.97737} <update track> [DEBUG]:	(falied car length 1)
{8.98789} <client Loop> [RETRY]:	(no car)
{8.98989} <Class Car Valid> [ERROR]:	(invalid triangle points, area too small: 0.5)
{8.98989} <unkown> [DEBUG]:	(generating invalid car, [<classes.Point object at 0x000001996D67ED80>, <classes.Point object at 0x000001996D67E990>, <classes.Point object at 0x000001996D67EA20>]; Point[0,0] Class car constructor)
{8.99289} <client Loop> [RETRY]:	(failed to follow path (empty))
{8.99289} <client Loop> [FPS]:	(10.513225802408792)
{8.99289} <client loop> [TIME]:	(frame number: 8)
{8.99289} <client Loop> [STATUS]:	(generating frame)
{8.99587} <update track> [DEBUG]:	(updating targets)
{9.00487} <update track> [DEBUG]:	(updating obsticles)
{9.01589} <update track> [DEBUG]:	(updating car)
{9.02641} <update track> [DEBUG]:	(falied car length 1)
{9.03743} <update track> [DEBUG]:	(falied car length 1)
{9.04874} <update track> [DEBUG]:	(falied car length 1)
{9.05948} <update track> [DEBUG]:	(falied car length 1)
{9.07047} <update track> [DEBUG]:	(falied car length 1)
{9.08149} <client Loop> [RETRY]:	(no car)
{9.08346} <Class Car Valid> [ERROR]:	(invalid triangle points, area too small: 0.5)
{9.08346} <unkown> [DEBUG]:	(generating invalid car, [<classes.Point object at 0x000001996D67EBD0>, <classes.Point object at 0x000001996D67ED80>, <classes.Point object at 0x000001996D67E990>]; Point[0,0] Class car constructor)
{9.08646} <client Loop> [RETRY]:	(failed to follow path (empty))
{9.08646} <client Loop> [FPS]:	(10.68642433291124)
{9.08646} <client loop> [TIME]:	(frame number: 9)
{9.08646} <client Loop> [STATUS]:	(generating frame)
{9.08945} <update track> [DEBUG]:	(updating walls)
{9.42589} <findCorners> [ERROR]:	(Kunne ikke finde alle hjørner)
{9.43046} <findCorners> [ERROR]:	(Kunne ikke finde alle hjørner)
{9.43145} <makeWalls> [ERROR]:	(Kunne ikke lave væg, et eller flere hjørner er None)
{9.43145} <makeGoals> [ERROR]:	(Kunne ikke lave mål, et eller flere hjørner er None)
{9.43145} <update track> [DEBUG]:	(no goals found)
{9.43145} <update track> [DEBUG]:	(updating targets)
{9.44145} <update track> [DEBUG]:	(updating obsticles)
{9.45212} <update track> [DEBUG]:	(updating car)
{9.46311} <update track> [DEBUG]:	(falied car length 1)
{9.47211} <update track> [DEBUG]:	(falied car length 1)
{9.48211} <update track> [DEBUG]:	(falied car length 1)
{9.49311} <update track> [DEBUG]:	(falied car length 1)
{9.50411} <update track> [DEBUG]:	(falied car length 1)
{9.51511} <client Loop> [RETRY]:	(no car)
{9.51911} <Class Car Valid> [ERROR]:	(invalid triangle points, area too small: 0.5)
{9.51924} <unkown> [DEBUG]:	(generating invalid car, [<classes.Point object at 0x000001996D67EA20>, <classes.Point object at 0x000001996D67EBD0>, <classes.Point object at 0x000001996D67ED80>]; Point[0,0] Class car constructor)
{9.52228} <client Loop> [RETRY]:	(failed to follow path (empty))
{9.52228} <client Loop> [FPS]:	(2.2945322535115724)
{9.52228} <client loop> [TIME]:	(frame number: 10)
{9.52228} <client Loop> [STATUS]:	(generating frame)
{9.52581} <update track> [DEBUG]:	(updating targets)
{9.53584} <update track> [DEBUG]:	(updating obsticles)
{9.54682} <update track> [DEBUG]:	(updating car)
{9.55784} <Class Car Valid> [INFO]:	(valid triangle points)
{9.55784} <Class Car Valid> [INFO]:	(area: 2919.75)
{9.55843} <Class Car Valid> [INFO]:	(valid triangle points)
{9.55843} <Class Car Valid> [INFO]:	(area: 2919.75)
{9.55843} <update track> [DEBUG]:	(car updated with 3 points)
{9.55843} <Class Car Valid> [INFO]:	(valid triangle points)
{9.55843} <Class Car Valid> [INFO]:	(area: 2919.75)
{9.55843} <Class Car Valid> [INFO]:	(valid triangle points)
{9.55843} <Class Car Valid> [INFO]:	(area: 2919.75)
{9.55946} <Class Car Valid> [INFO]:	(valid triangle points)
{9.55946} <Class Car Valid> [INFO]:	(area: 2919.75)
{9.55946} <pathGenerator> [DEBUG]:	(no targets or no car)
{9.55946} <Class Car Valid> [INFO]:	(valid triangle points)
{9.55946} <Class Car Valid> [INFO]:	(area: 2919.75)
{9.56246} <client Loop> [RETRY]:	(failed to follow path (empty))
{9.56246} <client Loop> [FPS]:	(24.885956532831774)
{9.56246} <client loop> [TIME]:	(frame number: 11)
{9.56246} <client Loop> [STATUS]:	(generating frame)
{9.56648} <update track> [DEBUG]:	(updating targets)
{9.57657} <update track> [DEBUG]:	(updating obsticles)
{9.58758} <update track> [DEBUG]:	(updating car)
{9.59857} <Class Car Valid> [INFO]:	(valid triangle points)
{9.59857} <Class Car Valid> [INFO]:	(area: 2919.75)
{9.59958} <Class Car Valid> [INFO]:	(valid triangle points)
{9.59958} <Class Car Valid> [INFO]:	(area: 2919.75)
{9.59958} <update track> [DEBUG]:	(car updated with 3 points)
{9.59958} <Class Car Valid> [INFO]:	(valid triangle points)
{9.59958} <Class Car Valid> [INFO]:	(area: 2919.75)
{9.59958} <Class Car Valid> [INFO]:	(valid triangle points)
{9.59958} <Class Car Valid> [INFO]:	(area: 2919.75)
{9.59958} <Class Car Valid> [INFO]:	(valid triangle points)
{9.60058} <Class Car Valid> [INFO]:	(area: 2919.75)
{9.60058} <pathGenerator> [DEBUG]:	(no targets or no car)
{9.60058} <Class Car Valid> [INFO]:	(valid triangle points)
{9.60058} <Class Car Valid> [INFO]:	(area: 2919.75)
{9.60360} <client Loop> [RETRY]:	(failed to follow path (empty))
{9.60360} <client Loop> [FPS]:	(24.310577870515274)
{9.60360} <client loop> [TIME]:	(frame number: 12)
{9.60458} <client Loop> [STATUS]:	(generating frame)
{9.60760} <update track> [DEBUG]:	(updating targets)
{9.61863} <update track> [DEBUG]:	(updating obsticles)
{9.62814} <update track> [DEBUG]:	(updating car)
{9.63914} <Class Car Valid> [INFO]:	(valid triangle points)
{9.63914} <Class Car Valid> [INFO]:	(area: 2986.25)
{9.64014} <Class Car Valid> [INFO]:	(valid triangle points)
{9.64014} <Class Car Valid> [INFO]:	(area: 2986.25)
{9.64014} <update track> [DEBUG]:	(car updated with 3 points)
{9.64014} <Class Car Valid> [INFO]:	(valid triangle points)
{9.64014} <Class Car Valid> [INFO]:	(area: 2986.25)
{9.64014} <Class Car Valid> [INFO]:	(valid triangle points)
{9.64014} <Class Car Valid> [INFO]:	(area: 2986.25)
{9.64014} <Class Car Valid> [INFO]:	(valid triangle points)
{9.64014} <Class Car Valid> [INFO]:	(area: 2986.25)
{9.64014} <pathGenerator> [DEBUG]:	(no targets or no car)
{9.64114} <Class Car Valid> [INFO]:	(valid triangle points)
{9.64114} <Class Car Valid> [INFO]:	(area: 2986.25)
{9.64414} <client Loop> [RETRY]:	(failed to follow path (empty))
{9.64414} <client Loop> [FPS]:	(25.277398436699592)
{9.64414} <client loop> [TIME]:	(frame number: 13)
{9.64414} <client Loop> [STATUS]:	(generating frame)
{9.64714} <update track> [DEBUG]:	(updating targets)
{9.65814} <update track> [DEBUG]:	(updating obsticles)
{9.66814} <update track> [DEBUG]:	(updating car)
{9.67814} <Class Car Valid> [INFO]:	(valid triangle points)
{9.67814} <Class Car Valid> [INFO]:	(area: 2919.75)
{9.67914} <Class Car Valid> [INFO]:	(valid triangle points)
{9.67914} <Class Car Valid> [INFO]:	(area: 2919.75)
{9.67914} <update track> [DEBUG]:	(car updated with 3 points)
{9.67914} <Class Car Valid> [INFO]:	(valid triangle points)
{9.67914} <Class Car Valid> [INFO]:	(area: 2919.75)
{9.67914} <Class Car Valid> [INFO]:	(valid triangle points)
{9.67914} <Class Car Valid> [INFO]:	(area: 2919.75)
{9.67914} <Class Car Valid> [INFO]:	(valid triangle points)
{9.67914} <Class Car Valid> [INFO]:	(area: 2919.75)
