{0.00000} <init Client> [INFO]:	(Logging enabled)
{0.00000} <init Client> [STATUS]:	(Venter på forbindelse på 0.0.0.0:12345...)
{5.00521} <init Client> [STATUS]:	(Forbundet til: ('192.168.28.151', 53636))
{5.00521} <init Client> [STATUS]:	(Modtaget EV3 is ready)
{5.85828} <Class Car Valid> [ERROR]:	(invalid triangle points, area too small: 0.5)
{5.85925} <unkown> [DEBUG]:	(generating invalid car, [<classes.Point object at 0x0000024044046810>, <classes.Point object at 0x00000240474E88C0>, <classes.Point object at 0x00000240474EBDD0>]; Point[0,0] Class car constructor)
{5.85925} <client Loop> [STATUS]:	(generating frame)
{6.00222} <update track> [DEBUG]:	(updating walls)
{6.48896} <update track> [DEBUG]:	(found 2 goals)
{6.48896} <update track> [DEBUG]:	(updating targets)
{6.53394} <update track> [DEBUG]:	(updating obsticles)
{6.57592} <update track> [DEBUG]:	(updating car)
{6.68050} <Class Car Valid> [INFO]:	(valid triangle points)
{6.68050} <Class Car Valid> [INFO]:	(area: 3065.25)
{6.68150} <Class Car Valid> [INFO]:	(valid triangle points)
{6.68150} <Class Car Valid> [INFO]:	(area: 3065.25)
{6.68150} <update track> [DEBUG]:	(car updated with 3 points)
{6.72651} <Class Car Valid> [INFO]:	(valid triangle points)
{6.72651} <Class Car Valid> [INFO]:	(area: 3065.25)
{6.72750} <Class Car Valid> [INFO]:	(valid triangle points)
{6.72750} <Class Car Valid> [INFO]:	(area: 3065.25)
{6.72750} <Class Car Valid> [INFO]:	(valid triangle points)
{6.72750} <Class Car Valid> [INFO]:	(area: 3065.25)
{6.72850} <Class Car Valid> [INFO]:	(valid triangle points)
{6.72850} <Class Car Valid> [INFO]:	(area: 3065.25)
{6.72850} <Class Car Valid> [INFO]:	(valid triangle points)
{6.72850} <Class Car Valid> [INFO]:	(area: 3065.25)
{6.72850} <Class Car validTarget> [ERROR]:	(target out of bounds)
{6.72951} <pathGenerator> [DEBUG]:	(no valid targets)
{6.72951} <Class Car Valid> [INFO]:	(valid triangle points)
{6.72951} <Class Car Valid> [INFO]:	(area: 3065.25)
{6.72951} <Class Car Valid> [INFO]:	(valid triangle points)
{6.73049} <Class Car Valid> [INFO]:	(area: 3065.25)
{6.73049} <Class Car Valid> [INFO]:	(valid triangle points)
{6.73049} <Class Car Valid> [INFO]:	(area: 3065.25)
{6.73049} <Class Car Valid> [INFO]:	(valid triangle points)
{6.73049} <Class Car Valid> [INFO]:	(area: 3065.25)
{6.73049} <Class Car Valid> [INFO]:	(valid triangle points)
{6.73149} <Class Car Valid> [INFO]:	(area: 3065.25)
{6.73149} <Class Car Valid> [INFO]:	(valid triangle points)
{6.73149} <Class Car Valid> [INFO]:	(area: 3065.25)
{6.73149} <Class Car Valid> [INFO]:	(valid triangle points)
{6.73149} <Class Car Valid> [INFO]:	(area: 3065.25)
{6.73249} <Class Car Valid> [INFO]:	(valid triangle points)
{6.73249} <Class Car Valid> [INFO]:	(area: 3065.25)
{6.73249} <Class Car Valid> [INFO]:	(valid triangle points)
{6.73249} <Class Car Valid> [INFO]:	(area: 3065.25)
{6.73349} <Class Car Valid> [INFO]:	(valid triangle points)
{6.73349} <Class Car Valid> [INFO]:	(area: 3065.25)
{6.73349} <Class Car Valid> [INFO]:	(valid triangle points)
{6.73349} <Class Car Valid> [INFO]:	(area: 3065.25)
