0.00000 <init Client> [INFO]:	(Logging enabled)
0.00102 <init Client> [STATUS]:	(Venter på forbindelse på 0.0.0.0:12345...)
11.26298 <init Client> [STATUS]:	(Forbundet til: ('192.168.28.151', 34320))
11.26671 <init Client> [STATUS]:	(Modtaget EV3 is ready)
11.99444 <client Loop> [STATUS]:	(generating frame)
12.14893 <pathGenerator> [DEBUG]:	(found destination)
12.14893 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
12.14893 <pathGenerator> [DEBUG]:	(From:   (163.00, 167.00))
12.14893 <pathGenerator> [DEBUG]:	(Angle to target: 1.68 rad)
12.14893 <pathGenerator> [DEBUG]:	(Rotation applied: 0.72 rad)
12.15039 <pathGenerator> [DEBUG]:	(Movement: 157.84 px)
12.15990 <client sender> [STATUS]:	(create rotate 0.7180371263210479)
12.15990 <client sender> [COMMAND]:	(sending command rotate -13.713498957299334)
12.15990 <client sender> [STATUS]:	(has ball False)
12.40540 <client reciever> [RESPONSE]:	(modified OK)
12.40540 <client Loop> [FPS]:	(2.4333284987439736)
12.40540 <client Loop> [STATUS]:	(generating frame)
12.44178 <pathGenerator> [DEBUG]:	(adjusted target)
12.44178 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
12.44178 <pathGenerator> [DEBUG]:	(From:   (201.00, 172.00))
12.44178 <pathGenerator> [DEBUG]:	(Angle to target: 1.71 rad)
12.44178 <pathGenerator> [DEBUG]:	(Rotation applied: -0.80 rad)
12.44178 <pathGenerator> [DEBUG]:	(Movement: 137.79 px)
12.44490 <client sender> [STATUS]:	(create rotate -0.8039732809385947)
12.44490 <client sender> [COMMAND]:	(sending command rotate 15.35475861302237)
12.44490 <client sender> [STATUS]:	(has ball False)
12.74905 <client reciever> [RESPONSE]:	(modified OK)
12.74905 <client Loop> [FPS]:	(2.909936567425642)
12.74905 <client Loop> [STATUS]:	(generating frame)
12.78751 <pathGenerator> [DEBUG]:	(adjusted target)
12.78751 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
12.78751 <pathGenerator> [DEBUG]:	(From:   (165.00, 168.00))
12.78751 <pathGenerator> [DEBUG]:	(Angle to target: 1.68 rad)
12.78751 <pathGenerator> [DEBUG]:	(Rotation applied: 0.68 rad)
12.78751 <pathGenerator> [DEBUG]:	(Movement: 153.96 px)
12.79051 <client sender> [STATUS]:	(create rotate 0.6803549183324762)
12.79051 <client sender> [COMMAND]:	(sending command rotate -12.993821797139562)
12.79051 <client sender> [STATUS]:	(has ball False)
13.06310 <client reciever> [RESPONSE]:	(modified OK)
13.06310 <client Loop> [FPS]:	(3.1842164199216985)
13.06310 <client Loop> [STATUS]:	(generating frame)
13.09730 <pathGenerator> [DEBUG]:	(adjusted target)
13.09730 <pathGenerator> [DEBUG]:	(Target: (174.50, 298.50))
13.09730 <pathGenerator> [DEBUG]:	(From:   (167.00, 167.00))
13.09730 <pathGenerator> [DEBUG]:	(Angle to target: 1.68 rad)
13.09830 <pathGenerator> [DEBUG]:	(Rotation applied: 0.66 rad)
13.09830 <pathGenerator> [DEBUG]:	(Movement: 152.50 px)
13.10130 <client sender> [STATUS]:	(create rotate 0.6599495876459383)
13.10130 <client sender> [COMMAND]:	(sending command rotate -12.604108687837092)
13.10130 <client sender> [STATUS]:	(has ball False)
13.29832 <client reciever> [RESPONSE]:	(modified OK)
13.29947 <client Loop> [FPS]:	(4.230508693398101)
13.29947 <client Loop> [STATUS]:	(generating frame)
